run_id,variety,change_id,mode,check_class,change_time,action,boundary_before,boundary_after,test_drop_result,reason,notes_changes,,,
T168,gala,1,stem_crack1,juice,07:25,a,100,40,ok,"stem_crack,clean",,,,
T168,gala,2,holes_ir,juice,07:34,a,35,25,ok,"holes,limrubs,clean_stem,puncture",,,,
T168,gala,3,bruises_ir,class1,07:50,c,10,10,ok,"bruises,scab,insect,sunburn_minor,sunburn",,,,
T168,gala,4,bruises_ir2,class1,08:00,a,120,100,m,"bruises_major,russets,scab,limrubs",,,,
T168,gala,5,sunburn_lbd,class1,08:15,a,0,1,ok,"russets,bruises_minor,sunburn,sunburn_minor",,,,
T168,gala,6,holes_ir2,juice,08:31,a,70,15,ok,"holes,cuts,clean,bitterpit",,,,
T168,gala,7,holes_ir2,class2,08:41,a,0,1,ok,,,,,
T168,gala,8,c2defects_ir2,class1,08:58,a,65,50,ok,"puncture,marks_skin",,,,
T168,gala,9,russeting_lbd,class1,09:28,a,0,350,ok,russets,,,,
T168,gala,10,russeting_stem_lbd,class1,10:26,a,0,800,ts,"leaf,clean,russets_stem",,,,
T168,gala,11,bruises_rgb,class1,10:35,a,100,60,ok,"russets,bruises",,,,
T168,gala,12,red_scale_rgb,class1,10:42,c,40,40,ok,"stripe_skin,san_jose,scab_minor",,,,
T168,gala,13,decay_ir2,class1,11:40,c,0,0,ok,"leaf,clean,cuts",,,,
T168,gala,14,bruises_rgb,class2,12:03,c,200,200,ok,"russets,bruises,cooked",,,,
T168,gala,15,bruises_ir2,class2,12:16,c,280,280,ok,"insect,bruises,russets,cooked",,,,
T168,gala,16,bruises_ir2,juice,12:30,c,400,400,ok,"russets,cooked",,,,
T168,gala,17,sunburn_lbd,juice,13:30,c,600,600,ok,"leaf,sunburn.cooked,sunbunr_minor,decay",,,,
T168,gala,18,decay_lbd,juice,13:35,c,0,0,na,"leaf,cooked,sunburn_major,major",,,,
T168,gala,19,decay_lbd,juice_front,13:48,a,0,50,tl,"leaf,cooked,sunburn_major,major,holes,bruises_major",,,,
T168,gala,20,decay_ir,juice,13:56,c,0,0,ok,"cooked,leaf,major",,,,
T168,gala,21,decay_ir,juice_front,14:03,a,50,400,na,leaf,,,,
T169,gala,1,holes_ir,juice,14:13,c,25,25,ok,,,,,
T169,gala,2,holes_ir2,juice,14:20,a,15,70,fc,,,,,
T169,gala,3,stem_crack1,juice,14:30,c,40,40,ok,"stem_crack,dirt_stem",,,,
T169,gala,4,holes_ir,class1,14:37,c,10,10,ok,"punctures,clean",,,,
T169,gala,5,sunburn_lbd,class2,14:43,c,30,30,ok,"russets,sunburn_minor,clean",,,,
T169,gala,6,bruises_ir2,juice,14:52,a,400,500,ts,"russets,bruises,insect,scab,sunburn",,,,
